Metadata_broad_sample,ap
BRD-K48278478-001-01-2,0.698238416988417
BRD-K48722258-300-11-0,0.6332582582582582
BRD-K48830578-001-01-9,0.45347009299215185
BRD-K49223707-001-01-0,0.5605313082057268
BRD-K49350383-001-13-7,0.9884169884169882
BRD-K50055394-001-03-6,0.9884169884169884
BRD-K50199947-001-03-4,0.9884169884169884
BRD-K50398167-236-22-7,0.5892716892716893
BRD-K50495309-001-02-0,0.9884169884169884
BRD-K50498985-001-03-3,0.8050836550836551
BRD-K50720187-051-03-1,0.9884169884169884
BRD-K50836978-001-03-3,0.9884169884169884
BRD-K51265828-001-01-0,0.3575429344936689
BRD-K51485109-001-01-4,0.46083526571331446
BRD-K51662849-001-05-4,0.873833655083655
BRD-K51899933-001-02-6,0.9884169884169884
BRD-K52075715-001-06-7,0.9884169884169884
BRD-K52960356-001-13-0,0.6759169884169884
BRD-K53061490-003-13-9,0.2213322108977597
BRD-K53234107-001-01-6,0.9884169884169884
BRD-K53972329-001-01-3,0.9884169884169884
BRD-K54330070-001-19-6,0.9884169884169884
BRD-K55567017-001-12-3,0.967583655083655
BRD-K55966568-001-09-6,0.9884169884169884
BRD-K56740996-001-02-1,0.31280039368274665
BRD-K56810756-003-07-7,0.1348821274195956
BRD-K57313110-001-06-8,0.3078794703794704
BRD-K57708067-001-01-3,0.2653137142688226
BRD-K58049875-001-03-9,0.9884169884169884
BRD-K58550667-001-08-7,0.9884169884169882
BRD-K59058747-001-19-1,0.445469657969658
BRD-K59325863-001-04-4,0.9884169884169884
BRD-K59632282-052-03-1,0.9363336550836552
BRD-K59831625-001-03-9,0.9884169884169884
BRD-K60150510-001-15-6,0.1586906453345452
BRD-K60476892-001-16-1,0.43585085085085085
BRD-K60659193-001-01-0,0.1567552678932949
BRD-K61250553-003-30-6,0.9884169884169884
BRD-K61397605-001-01-8,0.9884169884169884
BRD-K61642990-001-01-0,0.6216889704554178
BRD-K61688984-001-02-9,0.9884169884169884
BRD-K61845293-300-01-9,0.9884169884169884
BRD-K61918008-001-07-1,0.8634169884169884
BRD-K62810658-001-11-4,0.9884169884169884
BRD-K62949423-001-03-1,0.4748490612461201
BRD-K63430059-001-16-4,0.38725900661384527
BRD-K64034691-001-01-9,0.7801696543956607
